Status	Class	ActionTypes	QuoteTypeCrit	SourceProductCodes	Targets	Seq	Name
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-PMPP	01tWC00000DD1a0YAD	10	Year 1 Maintenance Sku added to Policy Manager for POS End Point Syste Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-PMPSP	01tWC00000DD1a5YAD	10	Year 1 Maintenance Sku added to Policy Manager for POS Servers Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-PMVEP	01tWC00000DD1aAYAT	10	Year 1 Maintenance Sku added to Policy Manager for VMware ESX Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	PIA-PIA-NRPS-PIAP	01tWC00000DD1bsYAD	10	Year 1 Maintenance Sku added to Powertech Identity_Access Manager Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TEAI	01tWC00000DCxkrYAD	10	Year 1 Maintenance Sku added to TE Academic Institution Site License Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TEACAD	01tWC00000DD1mdYAD	10	Year 1 Maintenance Sku added to TEAcademicInstitutionSiteLicenseDataPerpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TAIP	01tWC00000DD1mgYAD	10	Year 1 Maintenance Sku added to TEAcademicInstitutionSiteLicenseDeskPerpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TESP	01tWC00000DD1mjYAD	10	Year 1 Maintenance Sku added to TEAcademicInstitutionSiteLicenseDirSer Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TEDP	01tWC00000DCxkuYAD	10	Year 1 Maintenance Sku added to TEAcademicInstitutionSiteLicenseNetDevPerpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TEEP	01tWC00000DCxkxYAD	10	Year 1 Maintenance Sku added to TEAcademicInstitutionSiteLicenseVMWarePerpetual
