Product2.ProductCode,UnitPrice
DM-IBM-RSS-REPOSS,1905.75
CS-DFT-RSS-RCMSUB,2248
SM-PN-RSP-RMPGRS,300
SM-ROA-RSS-RAS,1534.1
SM-RAT-RSS-ROAS,2441.45
SM-ROB-RSS-RBSAS,3908.85
SM-ROB-RSS-RBCAS,3908.85
SM-ROB-RSS-RBCANS,3908.85
SM-ROB-RSS-RBSANS,3908.85
SM-ROB-RSS-RBSARS,3908.85
SM-SYM-RSS-RCS,2479.4
SM-ROC-RSS-ROCS,2751.95
SM-RCP-RSS-ROCPA,1815.85
SM-RHA-RSS-RHS,3162.5
SM-ROM-RSS-RMAS,885.5
SM-ROM-RSS-RMSUB,442.75
SM-ROM-RSS-RMVS,1771
SM-ROR-RSS-RRS,1534.1
SM-RRE-RSS-RORS,2403.5
SM-ROS-RSS-RSS,2783
SM-RSC-RSS-ROSS,3045.2
SM-RSE-RSS-RSES,2298.85
SM-RSI-RSS-RSEOIS,1534.1
SM-SYM-RSP-RBSH,275
SM-RSP-RSS-RSPACE,325
SM-ROT-RSS-RTS,1534.1
SM-SYM-RSS-ROTS,1458.2
SM-SYM-RSS-RUS,1629.55
DM-IBM-RSS-RPG2SU,4331.25
DM-IRC-RSS-RTFRSU,866.25
CS-SPS-RSS-SPSHS,664.7
CS-SPS-RSS-SPSHUS,4.73
ES-SEG-RSS-SSEGS,13
SM-SAP-RSS-SAPISU,1534.1
DM-WCU-RSS-SCANSU,7000
GS-GSE-RSS-SCHEYE,3125
DP-SC-RSL-SDKR,50000
DP-SC-RSL-SCPIUT,25000
ES-SEG-RSS-SEGS,1500
ES-SEG-RSS-SEPS,30.6
ES-SEG-RSS-SEEMAI,36.8
ES-SEG-RSS-SECEGA,25.65
ES-SXG-RSS-SEEXCH,3125
ES-SXG-RSS-SEEGAT,30.6
ES-SXG-RSS-SEEXGE,36.8
ES-SXG-RSS-SEEGES,25.65
GS-GSE-RSS-SFYS,14062.5
ES-SIG-RSS-SIGS,2625
ES-SIG-RSS-SEIS,6732
ES-SIG-RSS-SEUS,40.5
ES-SIG-RSS-SECIGA,8096
ES-SIG-RSS-SICGAT,45.6
ES-SIG-RSS-SICGAE,5643
ES-SIG-RSS-SIGESS,36.1
ES-SIG-RSS-SICGPE,2500
ES-SWG-RSS-SWGS,0.78
ES-SWG-RSS-SEWEB,48.6
ES-SWG-RSS-SECWGA,56.8
ES-SWG-RSS-SWEGAT,44.65
IGA-AAS-RSS-SECUSU,0.58
HRM-HRM-RSP-SEAD,3200
CS-SA-RSS-SAS,2441.45
CS-DFT-RSS-SADS,2248
HRM-HRM-RSL-SALCBS,2400
HRM-HRM-RSL-SALSBS,3000
HRM-HRM-RSL-SALUBS,5000
HRM-HRM-RSL-SAPCBWPS,2000
HRM-HRM-RSL-SAPCBSMS,3000
HRM-HRM-RSL-SAPSBSMS,4000
HRM-HRM-RSL-SAPUBSMS,6000
CS-PSS-RSS-SSIS,594
BI-SQ-RSS-SEQUES,10937
BI-SQ-RSS-SUBS,2483
BI-CRO-RSS-SCRS,484
BI-SDW-RSS-SDWS,10890
BI-SDW-RSS-SDWSLBES,9845
BI-SDW-RSS-SDWSLSES,15345
BI-SDW-RSS-SDWSLGES,20845
BI-SDW-RSS-SDWSLPES,27445
BI-SDW-RSS-SDWBBES,14795
BI-SDW-RSS-SDWBSES,20295
BI-SDW-RSS-SDWBGES,25795
BI-SDW-RSS-SDWBPES,32395
BI-SQ-RSS-SRDS,1097
BI-SQ-RSP-SQLRS,275
BI-SQ-RSS-SSMBPS,2811
BI-SQ-RSS-SSMBSS,2096
BI-SQ-RSS-SSMB,1097
BI-SQ-RSS-SESOLU,11047
BI-SWI-RSS-SWIS,3320
GS-GSE-RSS-SFTPYE,3465
BI-CRO-RSS-SHCL,484
BI-QRW-RSS-SREPS,183
BI-QRW-RSP-SHCRS,275
DM-SH-RSS-SIGNSU,288.75
CS-SSO-RSP-SINGSO,3300
GS-GSE-RSS-SINGFA,3812
DM-EU-RSS-SMTPSU,1925
VM-VLM-RSP-STRS,6000
VM-VLM-RMS-SOCITS,6000
SM-SFM-RSS-SFMS,1254
CDP-CSB-RSL-SSET,5000
IGA-AAS-RSS-SCCIPS,8662.5
IGA-AAS-RSS-SCCSDS,41
ES-SEG-RSS-SSSEGS,9.1
ES-SXG-RSS-SSSEGA,9.1
ES-SIG-RSS-SSSIGS,369
ES-SWG-RSS-SSSWGS,9.1
DM-SV4-RSS-S4SUPS,275
DM-SV4-RSS-S4SS,412
DM-SV4-RSS-S4S,1100
DM-SV4-RSS-S4UPS,1650
ES-ETM-RMS-SUSPAN,11500
ES-ETM-RMS-SUSPIN,20000
CDP-SG-RSL-SWGB,55
SM-VMC-RSS-T0PUS,8907
