AttributeValue,QuoteLineItemId,QuoteLineItem.Product2.ProductCode,QuoteLineItem.Fortra_Product_Type__c,QuoteLineItem.NetUnitPrice,QuoteLineItem.UnitPrice,QuoteLineItem.TotalPrice,QuoteLineItem.Source_List_Price__c,QuoteLineItem.Quote.Status,QuoteLineItem.Quote.QuoteTypeText__c
Professional,0QLWC000003DFyq4AG,GS-GSE-RRM-EFTAS,Renewal Maintenance,,2301.42,2301.42,,Approved,Renewal
Professional,0QLWC000003DfyQ4AS,GS-GSE-RRM-EFTAS,Renewal Maintenance,,1066.81,1066.81,,Approved,Renewal
Professional,0QLWC000003DFyQ4AW,GS-GSE-RRM-EOPM,Renewal Maintenance,,657.35,657.35,,Approved,Renewal
Professional,0QLWC000003DFyr4AG,GS-GSE-RRM-EFTAS,Renewal Maintenance,,2301.42,2301.42,,Approved,Renewal
Professional,0QLWC000003DfyR4AS,GS-GSE-RRM-EFTAW,Renewal Maintenance,,972.13,972.13,,Approved,Renewal
Professional,0QLWC000003DFyR4AW,GS-GSE-RRM-EFTAW,Renewal Maintenance,,2094.55,2094.55,,Approved,Renewal
Professional,0QLWC000003DFys4AG,GS-GSE-RRM-EFTAS,Renewal Maintenance,,1150.03,1150.03,,Approved,Renewal
Professional,0QLWC000003DfyS4AS,GS-GSE-RRM-EERM,Renewal Maintenance,,3165.09,3165.09,,Approved,Renewal
Professional,0QLWC000003DFyS4AW,GS-GSE-RRM-EERM,Renewal Maintenance,,3411.98,3411.98,,Approved,Renewal
Professional,0QLWC000003DfyT4AS,GS-GSE-RRM-DMGA,Renewal Maintenance,,3388.55,3388.55,,Approved,Renewal
Professional,0QLWC000003DFyT4AW,GS-GSE-RRM-EOPM,Renewal Maintenance,,328,328,,Approved,Renewal
Professional,0QLWC000003DfyU4AS,GS-GSE-RRM-EFTAW,Renewal Maintenance,,1942.99,1942.99,,Approved,Renewal
Professional,0QLWC000003DFyU4AW,GS-GSE-RRM-EFTAW,Renewal Maintenance,,1047.95,1047.95,,Approved,Renewal
Premier,0QLWC000003DfYV4A0,GS-GSE-RRM-EERM,Renewal Maintenance,,8112.48,8112.48,,Approved,Renewal
Professional,0QLWC000003DfyV4AS,GS-GSE-RRM-EFAR,Renewal Maintenance,,609.79,609.79,,Approved,Renewal
Professional,0QLWC000003DFyV4AW,GS-GSE-RRM-EERM,Renewal Maintenance,,2251.06,2251.06,,Approved,Renewal
Premier,0QLWC000003DfYW4A0,GS-GSE-RRM-EERM,Renewal Maintenance,,8112.48,8112.48,,Approved,Renewal
Professional,0QLWC000003DfyW4AS,GS-GSE-RRM-EFTAS,Renewal Maintenance,,2134.89,2134.89,,Approved,Renewal
Professional,0QLWC000003DFyW4AW,GS-GSE-RRM-EERM,Renewal Maintenance,,2251.06,2251.06,,Approved,Renewal
Premier,0QLWC000003DfYX4A0,GS-GSE-RRM-EOPM,Renewal Maintenance,,780.83,780.83,,Approved,Renewal
Professional,0QLWC000003DfyX4AS,GS-GSE-RRM-EOPM,Renewal Maintenance,,609.79,609.79,,Approved,Renewal
Premier,0QLWC000003EJMH4A4,GS-GSE-RNM-EANM,New Maintenance,,398.27,398.27,,Approved,Renewal
Premier,0QLWC000003EJMI4A4,GS-GSE-RNM-FOLDNE,New Maintenance,,398.27,398.27,,Approved,Renewal
Premier,0QLWC000003EJMJ4A4,GS-GSE-RNM-TRANNE,New Maintenance,,724.14,724.14,,Approved,Renewal
Premier,0QLWC000003EJMK4A4,GS-GSE-RNM-FTPSNE,New Maintenance,,474.14,474.14,,Approved,Renewal
Premier,0QLWC000003EJML4A4,GS-GSE-RNM-HTTPSS,New Maintenance,,905.17,905.17,,Approved,Renewal
Premier,0QLWC000003EJMM4A4,GS-GSE-RNM-PGPANE,New Maintenance,,398.27,398.27,,Approved,Renewal
Premier,0QLWC000003EJMN4A4,GS-GSE-RNM-SFNM,New Maintenance,,431.03,431.03,,Approved,Renewal
Professional,0QLWC000003EJMn4AO,GS-GSE-RNM-EFTEXP,New Maintenance,,0,0,,Approved,New
Premier,0QLWC000003EJMO4A4,GS-GSE-RNM-SFTPNE,New Maintenance,,474.14,474.14,,Approved,Renewal
Professional,0QLWC000003EJMo4AO,GS-GSE-RNM-EEDM,New Maintenance,,0,0,,Approved,New
Premier,0QLWC000003EJMP4A4,GS-GSE-RNM-SCHENE,New Maintenance,,217.24,217.24,,Approved,Renewal
Professional,0QLWC000003EJMp4AO,GS-GSE-RNM-EESM,New Maintenance,,0,0,,Approved,New
Professional,0QLWC000003EJMq4AO,GS-GSE-RNM-EFTF,New Maintenance,,0,0,,Approved,New
Professional,0QLWC000003EJMr4AO,GS-GSE-RNM-EHSM,New Maintenance,,0,0,,Approved,New
Professional,0QLWC000003EJMs4AO,GS-GSE-RNM-EF8,New Maintenance,,0,0,,Approved,New
Professional,0QLWC000003EJMt4AO,GS-GSE-RNM-ESSM,New Maintenance,,0,0,,Approved,New
Professional,0QLWC000003EJMu4AO,GS-GSE-RNM-EF8,New Maintenance,,0,0,,Approved,New
Professional,0QLWC000003EJMv4AO,GS-GSE-RNM-EEWM,New Maintenance,,0,0,,Approved,New
Professional,0QLWC000003EJMx4AO,GS-GSE-RNM-EFTEXP,New Maintenance,,0,0,,Approved,New
Professional,0QLWC000003EJMz4AO,GS-GSE-RNM-EEDM,New Maintenance,,0,0,,Approved,New
Professional,0QLWC000003EJN14AO,GS-GSE-RNM-EESM,New Maintenance,,0,0,,Approved,New
Professional,0QLWC000003EJN34AO,GS-GSE-RNM-EFTF,New Maintenance,,0,0,,Approved,New
Premier,0QLWC000003EjN44AK,GS-GSE-RRM-EFTEW,Renewal Maintenance,,372.19,372.19,,Approved,Renewal
Premier,0QLWC000003EjN54AK,GS-GSE-RRM-EFEXPR,Renewal Maintenance,,584.33,584.33,,Approved,Renewal
Professional,0QLWC000003EJN54AO,GS-GSE-RNM-EHSM,New Maintenance,,0,0,,Approved,New
Premier,0QLWC000003EjN64AK,GS-CFT-RRM-CF9REN,Renewal Maintenance,,14.34,14.34,,Approved,Renewal
Premier,0QLWC000003EjN74AK,GS-CFT-RRM-CF9REN,Renewal Maintenance,,14.34,14.34,,Approved,Renewal
Premier,0QLWC000003EjN84AK,GS-CFT-RRM-CF9REN,Renewal Maintenance,,14.34,14.34,,Approved,Renewal
