AttributeValue,QuoteLineItemId,QuoteLineItem.Product2Id,QuoteLineItem.Product2.Name,QuoteLineItem.Product2.ProductCode,QuoteLineItem.Fortra_Product_Type__c,QuoteLineItem.NetUnitPrice,QuoteLineItem.Source_List_Price__c,QuoteLineItem.Quote.Status
Standard,0QLWC000003HJL74AO,01tWC00000DD1GnYAL,Email Security-RenewalMaintenance,ES-SEG-RRM-ESRM,Renewal Maintenance,,,Won
Standard,0QLWC000003HJmE4AW,01tWC00000DD09kYAD,Network Monitoring-NewMaintenance,NW-INT-RNM-NMNM,New Maintenance,,,Won
Standard,0QLWC000003HJmG4AW,01tWC00000DD09lYAD,Network Monitoring-RenewalMaintenance,NW-INT-RRM-NMRM,Renewal Maintenance,,,Won
Standard,0QLWC000003HJMu4AO,01tWC00000DD1LlYAL,GoAnywhere-NewMaintenance,GOA-GAM-RNM-GANM,New Maintenance,,,Won
Standard,0QLWC000003HJmW4AW,01tWC00000DD09kYAD,Network Monitoring-NewMaintenance,NW-INT-RNM-NMNM,New Maintenance,,,Won
Standard,0QLWC000003HJmX4AW,01tWC00000DD09kYAD,Network Monitoring-NewMaintenance,NW-INT-RNM-NMNM,New Maintenance,,,Won
Standard,0QLWC000003Hjqa4AC,01tWC00000DD1LmYAL,GoAnywhere-RenewalMaintenance,GOA-GAM-RRM-GARM,Renewal Maintenance,,,Won
Standard,0QLWC000003Hjqb4AC,01tWC00000DD1LmYAL,GoAnywhere-RenewalMaintenance,GOA-GAM-RRM-GARM,Renewal Maintenance,,,Won
Standard,0QLWC000003Hjqc4AC,01tWC00000DD1LmYAL,GoAnywhere-RenewalMaintenance,GOA-GAM-RRM-GARM,Renewal Maintenance,,,Won
Standard,0QLWC000003Hjqd4AC,01tWC00000DD1LmYAL,GoAnywhere-RenewalMaintenance,GOA-GAM-RRM-GARM,Renewal Maintenance,,,Won
Standard,0QLWC000003Hjqe4AC,01tWC00000DD1LmYAL,GoAnywhere-RenewalMaintenance,GOA-GAM-RRM-GARM,Renewal Maintenance,,,Won
Standard,0QLWC000003Hjqf4AC,01tWC00000DD1LmYAL,GoAnywhere-RenewalMaintenance,GOA-GAM-RRM-GARM,Renewal Maintenance,,,Won
Standard,0QLWC000003Hjqg4AC,01tWC00000DD1LmYAL,GoAnywhere-RenewalMaintenance,GOA-GAM-RRM-GARM,Renewal Maintenance,,,Won
Standard,0QLWC000003Hjqh4AC,01tWC00000DD1LmYAL,GoAnywhere-RenewalMaintenance,GOA-GAM-RRM-GARM,Renewal Maintenance,,,Won
Standard,0QLWC000003Hjqi4AC,01tWC00000DD1LmYAL,GoAnywhere-RenewalMaintenance,GOA-GAM-RRM-GARM,Renewal Maintenance,,,Won
