Id,Product2Id,Product2.Name,Product2.ProductCode,Product2.Family,Product2.IsActive,Pricebook2Id,Pricebook2.Name,CurrencyIsoCode,UnitPrice,IsActive
01uWC000005pHyxYAE,01tWC00000DD14IYAT,Automate Intelligent Capture-RenewalMaintenance,RPA-AIC-RRM-AICRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHz3YAE,01tWC00000DD14PYAT,Automate OEM Royalty-NewMaintenance,RPA-AUT-RNM-AORNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHz9YAE,01tWC00000DD14RYAT,Automate OEM Royalty-RenewalMaintenance,RPA-AUT-RRM-AORRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHzFYAU,01tWC00000DD14VYAT,Automate Ops Console-NewMaintenance,RPA-AUT-RNM-AOCNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pHzLYAU,01tWC00000DD14XYAT,Automate Ops Console-RenewalMaintenance,RPA-AUT-RRM-AOCRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pI4qYAE,01tWC00000DD1LvYAL,GoAnywhere Advanced Agent-NewMaintenance,GOA-GAM-RNM-GAAANM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pI8FYAU,01tWC00000DD1LzYAL,GoAnywhere Advanced Reporting-NewMaintenance,GOA-GAM-RNM-GAARNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pI8LYAU,01tWC00000DD1M1YAL,GoAnywhere Advanced Reporting-RenewalMaintenance,GOA-GAM-RRM-GAARRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pI8WYAU,01tWC00000DD1M5YAL,GoAnywhere Advanced Workflows-RenewalMaintenance,GOA-GAM-RRM-GAAWRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pI8cYAE,01tWC00000DD1M7YAL,GoAnywhere Advanced Workflows and Reporting-NewMaintenance,GOA-GAM-RNM-GAAWRN,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pI8iYAE,01tWC00000DD1M9YAL,GoAnywhere Advanced Workflows and Reporting-RenewalMaintenance,GOA-GAM-RRM-GAAWRR,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pI8oYAE,01tWC00000DD1MBYA1,GoAnywhere Agent-NewMaintenance,GOA-GAM-RNM-GAANM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pI8uYAE,01tWC00000DD1MDYA1,GoAnywhere Agent-RenewalMaintenance,GOA-GAM-RRM-GAARM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pI90YAE,01tWC00000DD1MFYA1,GoAnywhere AS2 Send/Receive-NewMaintenance,GOA-GAM-RNM-GAASRN,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pI96YAE,01tWC00000DD1MHYA1,GoAnywhere AS2 Send/Receive-RenewalMaintenance,GOA-GAM-RRM-GAASRR,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pI9CYAU,01tWC00000DD1MJYA1,GoAnywhere AS3 Send/Receive-NewMaintenance,GOA-GAM-RNM-GONM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pI9IYAU,01tWC00000DD1MLYA1,GoAnywhere AS3 Send/Receive-RenewalMaintenance,GOA-GAM-RRM-GORM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
