Id,Name,StockKeepingUnit,BasedOnId,BasedOn.Name
01tWC00000DD1wTYAT,Web Enablement (SWI)-NewMaintenance,,11BWC0000037mBH2AY,PL_STYPE
01tWC00000DD237YAD,VISUAL Control Performance Planner-NewMaintenance,,11BWC0000037mCe2AI,PL_STYPE_OS
01tWC00000DD23FYAT,VMC - Operations Agent-NewMaintenance,,11BWC0000037mCe2AI,PL_STYPE_OS
01tWC00000DD116YAD,5250 Integrator-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD11AYAT,A la Carte Menu and Security System-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD11jYAD,Advanced Reporting Suite License-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD11tYAD,AFP Converter-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD125YAD,AIX STD-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD128YAD,Alert Intelligence-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD12CYAT,Alignia - Batch Process-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD12GYAT,Alignia - Business Application-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD12KYAT,Alignia - Business Consumers-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD12OYAT,Alignia - Business Process-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD12SYAT,Alignia - Business Service Instance-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD12WYAT,Alignia - Continuous Process-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD12aYAD,Alignia - Control Point-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD12eYAD,Alignia - Core-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD12jYAD,Alignia - Engine-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD12nYAD,Alignia - External Service-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD12rYAD,Alignia - Internal Service-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD12vYAD,Alignia - Online Business Service-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD133YAD,Alignia - Task Instance-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD12zYAD,Alignia - Task-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD13pYAD,Automate Desktop-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD140YAD,Automate Enterprise Agent-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD144YAD,Automate Enterprise Developer Tools-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD13wYAD,Automate Enterprise-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD14AYAT,Automate Full/Premium-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD14GYAT,Automate Intelligent Capture-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
01tWC00000DD14PYAT,Automate OEM Royalty-NewMaintenance,,11BWC0000037mBF2AY,STYPE_ONLY
