
===== SHEET: Tripwire Enterprise (181r x 9c) =====
製品番号 SKU	数量 Qty	製品名 Description	定価 TWKK List Price (External- Distributor list price)	50% Discount from List (Distributor Buy Price)	55% Discount from List (Distributor Buy Price)	60% Discount from List (Distributor Buy Price)	65% of Distributor Buy Price (target based upon 2013 results)	Yen Transfer Price
TEサーバー (Consoles)
150110-01-JA	501-1000	Tripwire for Microsoft IIS - Basic Support	6608.000000000001	3304.0000000000005	2973.6000000000004	2643.2000000000007	2147.6000000000004	2000
150110-01-JA	1001+	Tripwire for Microsoft IIS - Basic Support	5152.000000000001	2576.0000000000005	2318.4000000000005	2060.8000000000006	1674.4000000000003	2000
150110-03-JA	1-100	Tripwire for Microsoft IIS - Renewal Basic Support	15012.000000000002	7506.000000000001	6755.400000000001	6004.800000000001	4878.900000000001	5000
150110-03-JA	101-250	Tripwire for Microsoft IIS - Renewal Basic Support	11880	5940	5346	4752	3861	4000
150110-03-JA	251-500	Tripwire for Microsoft IIS - Renewal Basic Support	7344.000000000001	3672.0000000000005	3304.8000000000006	2937.6000000000004	2386.8	2000
150110-03-JA	501-1000	Tripwire for Microsoft IIS - Renewal Basic Support	6372	3186	2867.4	2548.8	2070.9	2000
150110-03-JA	1001+	Tripwire for Microsoft IIS - Renewal Basic Support	4968	2484	2235.6	1987.2	1614.6000000000001	2000

===== SHEET: FIM (156r x 9c) =====
製品番号 SKU	数量 Qty	製品名 Description	定価 TWKK List Price (External- Distributor list price)	50% Discount from List (Distributor Buy Price)	55% Discount from List (Distributor Buy Price)	60% Discount from List (Distributor Buy Price)	65% of Distributor Buy Price (target based upon 2013 results)	Yen Transfer Price
TEサーバー (Consoles)
172000-00-JA	1	Tripwire Enterprise Console – License (per instance)	1712368.0000000002	856184.0000000001	770565.6000000001	684947.2000000002	556519.6000000001	557000
172000-01-JA	1	Tripwire Enterprise Console - Basic Support	359632.00000000006	179816.00000000003	161834.40000000002	143852.80000000002	116880.40000000002	117000
172000-03-JA	1	Tripwire Enterprise Console - Basic Support Renewal	346788	173394	156054.6	138715.2	112706.1	113000
エージェント（Nodes）
173110-00-JA	1-100	File Integrity Manager for File Systems - License	166656.00000000003	83328.00000000001	74995.20000000001	66662.40000000001	54163.20000000001	54000
173110-00-JA	101-250	File Integrity Manager for File Systems - License	148176	74088	66679.2	59270.4	48157.200000000004	48000
173110-00-JA	251-500	File Integrity Manager for File Systems - License	110880.00000000001	55440.00000000001	49896.00000000001	44352.00000000001	36036.00000000001	36000
173110-00-JA	501-1000	File Integrity Manager for File Systems - License	85456.00000000001	42728.00000000001	38455.200000000004	34182.40000000001	27773.200000000004	28000
173110-00-JA	1001+	File Integrity Manager for File Systems - License	59360.00000000001	29680.000000000004	26712.000000000004	23744.000000000004	19292.000000000004	19000
173110-01-JA	1-100	File Integrity Manager for File Systems - Basic Support	35056	17528	15775.2	14022.400000000001	11393.2	11000
173110-01-JA	101-250	File Integrity Manager for File Systems - Basic Support	31136.000000000004	15568.000000000002	14011.200000000003	12454.400000000001	10119.2	10000
173110-01-JA	251-500	File Integrity Manager for File Systems - Basic Support	23296.000000000004	11648.000000000002	10483.200000000003	9318.400000000001	7571.200000000002	8000
173110-01-JA	501-1000	File Integrity Manager for File Systems - Basic Support	17920	8960	8064	7168	5824	6000
173110-01-JA	1001+	File Integrity Manager for File Systems - Basic Support	12656.000000000002	6328.000000000001	5695.200000000001	5062.4000000000015	4113.200000000001	4000
173110-03-JA	1-100	File Integrity Manager for File Systems - Renewal Basic Support	33804	16902	15211.800000000001	13521.6	10986.300000000001	11000
173110-03-JA	101-250	File Integrity Manager for File Systems - Renewal Basic Support	30024.000000000004	15012.000000000002	13510.800000000001	12009.600000000002	9757.800000000001	10000
173110-03-JA	251-500	File Integrity Manager for File Systems - Renewal Basic Support	22464	11232	10108.800000000001	8985.6	7300.8	7000
173110-03-JA	501-1000	File Integrity Manager for File Systems - Renewal Basic Support	17280	8640	7776	6912	5616	6000
