Id,Name,ProductCode
01tWC00000FCEH3YAP,VISUAL Debugger 5250 (Technical),SM-VMC-RSS-VD5S-TECH
01tWC00000FCEH4YAP,VISUAL Message Center - Full Pack (Technical)-NewMaintenance,SM-VMC-RNM-VMCM-TECH
01tWC00000FCEH5YAP,VISUAL Message Center - Full Pack (Technical),SM-VMC-NRPS-VMCP-TECH
01tWC00000FCEH6YAP,VISUAL Message Center - Full Pack (Technical)-RenewalMaintenance,SM-VMC-RRM-VIME-TECH
01tWC00000FCEzSYAX,Native AFP to PDF Report (Technical)-RenewalMaintenance,DM-DML-RRM-NATPRR-TECH
01tWC00000FCEzTYAX,Native AFP to TIFF Report (Technical)-NewMaintenance,DM-DML-RNM-NATTRN-TECH
01tWC00000FCEzUYAX,Native AFP to TIFF Report (Technical),DM-DML-NRPS-NATTRP-TECH
01tWC00000FCEzVYAX,Native AFP to TIFF Report (Technical)-RenewalMaintenance,DM-DML-RRM-NATTRR-TECH
01tWC00000FCEzWYAX,Native Converters (Technical)-NewMaintenance,DM-DML-RNM-NCNM-TECH
01tWC00000FCEzXYAX,Native Converters (Technical),DM-DML-NRPS-NCP-TECH
01tWC00000FCEzYYAX,Native Converters (Technical)-RenewalMaintenance,DM-DML-RRM-NCRM-TECH
01tWC00000FCEzZYAX,Native DataImport Report Converter (Technical)-NewMaintenance,DM-DML-RNM-NDIRCN-TECH
01tWC00000FCEzaYAH,Native DataImport Report Converter (Technical),DM-DML-NRPS-NDIRCP-TECH
01tWC00000FCEzbYAH,Native DataImport Report Converter (Technical)-RenewalMaintenance,DM-DML-RRM-NDIRCR-TECH
01tWC00000FCEzcYAH,Native Host Print Transform Converter (Technical)-NewMaintenance,DM-DML-RNM-NHPTCN-TECH
01tWC00000FCEzdYAH,Native Host Print Transform Converter (Technical),DM-DML-NRPS-NHPTCP-TECH
01tWC00000FCEzeYAH,Native Host Print Transform Converter (Technical)-RenewalMaintenance,DM-DML-RRM-NHPTCR-TECH
01tWC00000FCEzfYAH,Native PCL to PDF Converter - Legacy (Technical)-NewMaintenance,DM-IBM-RNM-NPTPCL-TECH
01tWC00000FCEzgYAH,Native PCL to PDF Converter - Legacy (Technical),DM-IBM-NRPS-NATIVE-TECH
